IDENTIFIER	GERMAN	ENGLISH
FRAME_TITLE	Funktionsplotter	Function Plotter
TAB_MAIN	Eingabe	Input
TAB_MANUAL	Anleitung	Manual
TAB_OTHER	Weiteres	Other
TXT_MANUAL	<html> <body style=\"font:Arial;\"><meta charset=\"UTF-8\"><p><b>Funktionsweise</b><br>Das Programm liest beliebige mathematische Funktionen, wertet diese aus und zeichnet sie. Die mathematischen Ausdruecke koennen auf der linken Seite eingegeben werden.</p><p> Bis zu acht Ausdruecke/Funktionen koennen parallel bearbeitet und gezeichnet werden. Ist die Eingabe syntaktisch nicht korrekt, wird dies vom Eingabefeld gemeldet.<p>Es sind beliebige mathematische Ausdruecke mit den Operatoren <b>+, -, *, /, ^</b> moeglich. Zusaetzlich sind einige wichtige Funktionen implementiert: <b>sin(), cos(), tan(), abs(), log(), sqrt()</b>. </p>Die unbekannte muss immer mit dem Namen x bezeichnet werden. Es koennen aber auch mathematische Ausdruecke bearbeitet werden, die keine Unbekannte enthalten.</p> <p><b>Navigation</b><br>Durch das Druecken und Halten der linken Maustaste laesst sich das Sichtfenster des Graphs verschieben. Durch Drehen des Mausrads kann hinein- und herausgezoomt werden. Alternativ kann dies auch durch das Betaetigen der Zoom-Bedienelemente im Weiteres-Tab erreicht werden. Durch Druecken des Zuruecksetzen-Buttons wird das Sichtfenster auf die Ausgangsposition zurueckgesetzt. Zusaetzlich kann die Farbe des Graphen durch Klicken auf das farbige Rechteck links neben dem Textfeld geaendert werden.</p> </body> </html>	<html> <body style=\"font:Arial;\"><meta charset=\"UTF-8\"><p><b>Functionality</b><br>The program reads any mathematical functions, evaluates them and draws them. The mathematical expressions can be entered on the left side.</p><p> Up to eight expressions/functions can be processed and drawn in parallel. If the input is syntactically incorrect, this is reported by the input field.<p>Any mathematical expressions with the operators <b>+, -, *, /, ^</b> are possible. Additionally some important functions are implemented: <b>sin(), cos(), tan(), abs(), log(), sqrt().</b>. </p>The variable must always be denoted by the name x. However, mathematical expressions that do not contain any variable can also be processed.</p> <p><b>Navigation</b><br>By pressing and holding the left mouse button, the graph canvas can be moved. By turning the mouse wheel you can zoom in and out. Alternatively, this can also be achieved by using the zoom controls in the Other tab. Pressing the Reset button resets the view window to its original position. Additionally, the color of the graph can be changed by clicking on the colored rectangle to the left of the text box.</p> </body> </html>
INPUT_EMPTY	Ausdruck eingeben	Enter an expression
INPUT_SYNTAX	Syntaxfehler an Stelle %s (Unerwartetes Symbol \"%s\")	Syntax error at position %s (Unexpected symbol \"%s\")
INPUT_EXPR_END	Unerwartetes Ausdrucksende	Unexpected end of expression
TXT_ABOUT	<body style=\"font:Arial;\"> <meta charset=\"UTF-8\"><center><p>Dieses Projekt entstand im Rahmen des Moduls \"Anwendungsorientierte Programmierung\" bei Prof. Heinrich Kraemer.</p><p>Urheberrecht Jonathan Schulze, Hans Schreiter, Wieland Zweynert (2022)</p></center> <p>&nbsp; </p> </body>	<body style=\"font:Arial;\"> <meta charset=\"UTF-8\"><center><p>This program was developed as part of the course \"Anwendungsorientierte Programmierung\" under the supervision of Prof. Heinrich Kraemer.</p><p>Copyright Jonathan Schulze, Hans Schreiter, Wieland Zweynert (2022)</p></center> <p>&nbsp; </p> </body>
BTN_RESET	Zuruecksetzen	Reset
BORDER_ABOUT	Ueber dieses Programm	About this program
BORDER_ZOOM	Individueller Zoom	Individual zoom
BTN_ZOOM_MODE	Zoom auf Koordinatenursprung	Zoom fixed on origin
